Processed,Method,URI,Flags
true,GET,http://192.168.223.121,Seed
true,GET,http://192.168.223.121/robots.txt,Seed
true,GET,http://192.168.223.121/sitemap.xml,Seed
true,GET,http://192.168.223.121/twiki/,
true,GET,http://192.168.223.121/phpMyAdmin/,
true,GET,http://192.168.223.121/mutillidae/,
true,GET,http://192.168.223.121/dvwa/,
true,GET,http://192.168.223.121/dav/,
true,GET,http://192.168.223.121/twiki/readme.txt,
true,GET,http://192.168.223.121/twiki/license.txt,
true,GET,http://192.168.223.121/twiki/TWikiDocumentation.html,
true,GET,http://192.168.223.121/twiki/TWikiHistory.html,
true,GET,http://192.168.223.121/twiki/bin/view/Main/WebHome,
false,GET,http://www.w3.org/TR/xhtml1/DTD/xhtml1-transitional.dtd,Out of Scope
true,GET,http://192.168.223.121/dav/?C=N;O=D,
true,GET,http://192.168.223.121/dav/?C=M;O=A,
true,GET,http://192.168.223.121/dav/?C=S;O=A,
true,GET,http://192.168.223.121/dav/?C=D;O=A,
true,GET,http://192.168.223.121/,
true,GET,http://192.168.223.121/icons/blank.gif,
true,GET,http://192.168.223.121/icons/back.gif,
true,GET,http://192.168.223.121/dav,
false,GET,http://twiki.org/,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/TWiki/TWikiDocumentation,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/Main/TWikiInstallations,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/Main/PoweredByTWikiLogo,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/Support/,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/Codev/,Out of Scope
false,GET,http://www.gnu.org/copyleft/gpl.html,Out of Scope
true,GET,http://192.168.223.121/dvwa/login.php,
false,GET,http://twiki.org/cgi-bin/view/TWiki/PeterThoeny,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/TWiki/InterwikiPlugin,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/Codev.ReadmeFirst,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/TWiki/TWikiFuncModule,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/TWiki/TWikiPreferences,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/TWiki/WikiWord,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/TWiki/AndreaSterbini,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/TWiki/RichardDonkin,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/TWiki/SvenDowideit,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/TWiki/TWikiSkins,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/TWiki/ColasNahaboo,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/TWiki/WebNotify,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/TWiki/WikiName,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/TWiki/TWikiTemplates,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/TWiki/RyanFreebern,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/TWiki/FormattedSearch,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/TWiki/NewUserTemplate,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/TWiki/ManagingWebs,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/TWiki/JohnTalintyre,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/TWiki/WebSearch,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/TWiki/FileAttachment,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/TWiki/TWikiMetaData,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/TWiki/TWikiForms,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/TWiki/TWikiVariables,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/TWiki/TWikiPlugins,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/TWiki/KlausWriessnegger,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/TWiki/ChangePassword,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/TWiki/ResetPassword,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/Main/TWikiAdminGroup,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/TWiki/TWikiAccessControl,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/TWiki/ManagingTopics,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/TWiki/TextFormattingRules,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/Codev/FileAttachmentFilterSecurityAlert,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/TWiki/NicholasLee,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/Codev/CreateLinkToAttachedFileBug,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/TWiki/DontNotify,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/TWiki/WebChanges,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/Codev/TWikiSkins,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/TWiki/StanleyKnutson,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/Codev/AuthenticationBasedOnGroups,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/Codev/IncludeHandlingImprovements,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/TWiki/TWikiUserAuthentication,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/TWiki/AlWilliams,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/Codev/UppercaseAttachments,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/TWiki/HaroldGottschalk,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/Codev/BetterTWikiTagTemplateProcessing,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/TWiki/ManpreetSingh,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/Codev/AttachedNotificationLinksBug,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/TWiki/TextFormattingFAQ,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/TWiki/BookView,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/TWiki/CrisBailiff,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/TWiki/PeterFokkinga,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/TWiki/KevinKinnell,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/TWiki/JohnAltstadt,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/TWiki/TWikiRegistration,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/TWiki/WebPreferences,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/Main/TWikiUsers,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/TWiki/WebStatistics,Out of Scope
true,GET,http://192.168.223.121/rdiff/TWiki/TWikiHistory,
true,GET,http://192.168.223.121/rdiff/TWiki/TWikiHistory?rev1=1.10&rev2=1.9,
true,GET,http://192.168.223.121/view/TWiki/TWikiHistory?rev=1.9,
true,GET,http://192.168.223.121/rdiff/TWiki/TWikiHistory?rev1=1.9&rev2=1.8,
true,GET,http://192.168.223.121/view/TWiki/TWikiHistory?rev=1.8,
true,GET,http://192.168.223.121/rdiff/TWiki/TWikiHistory?rev1=1.8&rev2=1.7,
true,GET,http://192.168.223.121/view/TWiki/TWikiHistory?rev=1.7,
true,GET,http://192.168.223.121/oops/TWiki/TWikiHistory?param1=1.10&template=oopsrev,
false,GET,http://twiki.org/cgi-bin/view/TWiki/ChristopheVermeulen,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/TWiki/DavidWarman,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/TWiki/WikiNotation,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/TWiki/WikiTopic,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/TWiki/WikiWikiClones,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/Codev.FeatureBrainstorming,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/Codev.FeatureEnhancementRequest,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/Codev.FeatureToDo,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/Codev.FeatureUnderConstruction,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/Codev.FeatureDone,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/Codev.DocRequest,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/Codev.DocsToDo,Out of Scope
false,GET,http://twiki.org/cgi-bin/view/Codev.FeatureDocumented,Out of Scope
